InventoryLegSK	CarrierCode	FlightNumber	DepartureAirport	ArrivalAirport	DepartureDateTimeLocal	DepartureDateTimeUTC	ArrivalDateTimeLocal	ArrivalDateTimeUTC	ArrivalCountry	DepartureCountry	RouteGroup	Region	FlightCapacity	FlightStatus
9153888	FR	144	BER	STN	2022-06-15 06:30:00	2022-06-15 04:30:00	2022-06-15 07:20:00	2022-06-15 06:20:00	United Kingdom	Germany	CITY	LON CITY MULTI	189	Departed
9857561	FR	6833	EIN	NAP	2022-07-28 12:20:00	2022-07-28 10:20:00	2022-07-28 14:35:00	2022-07-28 12:35:00	Italy	Netherlands	LEISURE	BENLFR LEISURE	189	Departed
9527383	FR	8973	BRI	CTA	2022-04-24 19:25:00	2022-04-24 17:25:00	2022-04-24 20:35:00	2022-04-24 18:35:00	Italy	Italy	DOMESTIC	IT DOM	189	Cancelled
9118423	FR	1025	DUB	BUD	2022-09-12 13:25:00	2022-09-12 12:25:00	2022-09-12 17:15:00	2022-09-12 15:15:00	Hungary	Ireland	CITY	IE CITY	189	Cancelled
9897668	FR	4150	PMI	HHN	2022-07-03 19:15:00	2022-07-03 17:15:00	2022-07-03 21:30:00	2022-07-03 19:30:00	Germany	Spain	LEISURE	DE LEISURE	189	Departed
9501035	FR	7851	KBP	BLQ	2022-06-21 10:40:00	2022-06-21 07:40:00	2022-06-21 12:25:00	2022-06-21 10:25:00	Italy	Ukraine	CITY	EAST-ESFRIT	189	Cancelled
9088676	FR	7185	PMI	HAM	2022-05-14 16:35:00	2022-05-14 14:35:00	2022-05-14 19:15:00	2022-05-14 17:15:00	Germany	Spain	LEISURE	DE LEISURE	180	Departed
9093720	FR	5710	BCN	NAP	2022-07-16 11:05:00	2022-07-16 09:05:00	2022-07-16 12:55:00	2022-07-16 10:55:00	Italy	Spain	CITY	ESPT-IT	189	Departed
8996668	FR	9674	MAD	CIA	2022-09-14 06:35:00	2022-09-14 04:35:00	2022-09-14 08:50:00	2022-09-14 06:50:00	Italy	Spain	CITY	ESPT-IT	189	Cancelled
9409364	FR	8241	TSF	BRS	2022-05-22 15:40:00	2022-05-22 13:40:00	2022-05-22 17:00:00	2022-05-22 16:00:00	United Kingdom	Italy	CITY	UK REG CITY	189	Departed
9594696	FR	4207	LPL	CPH	2022-08-08 18:05:00	2022-08-08 17:05:00	2022-08-08 21:00:00	2022-08-08 19:00:00	Denmark	United Kingdom	CITY	UK REG CITY	189	Cancelled
9677677	FR	4861	FCO	CTA	2022-07-15 13:05:00	2022-07-15 11:05:00	2022-07-15 14:20:00	2022-07-15 12:20:00	Italy	Italy	DOMESTIC	ROM DOM	189	Departed
9873003	FR	787	EIN	BLQ	2022-04-01 11:25:00	2022-04-01 09:25:00	2022-04-01 13:00:00	2022-04-01 11:00:00	Italy	Netherlands	CITY	BENL-FRIT	189	Departed
9110483	FR	6324	BGY	SOF	2022-05-19 07:45:00	2022-05-19 05:45:00	2022-05-19 10:40:00	2022-05-19 07:40:00	Bulgaria	Italy	CITY	EAST-ESFRIT	189	Cancelled
9086271	FR	3056	MAD	MAH	2022-09-09 19:05:00	2022-09-09 17:05:00	2022-09-09 20:35:00	2022-09-09 18:35:00	Spain	Spain	DOMESTIC	BCNMAD DOM	189	Departed
